Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent
Alestes,macrophthalmus,Alestidae,pelagic,60,SL,2,native,Tanganyika,Africa
Brachypetersius,cadwaladeri,Alestidae,pelagic,4.3,TL,3,questionable,Tanganyika,Africa
Brycinus,grandisquamis,Alestidae,pelagic,26,SL,3.2,native,Tanganyika,Africa
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Tanganyika,Africa
Brycinus,kingsleyae,Alestidae,pelagic,16.6,SL,3.1,questionable,Tanganyika,Africa
Brycinus,rhodopleura,Alestidae,pelagic,30,SL,3.2,native,Tanganyika,Africa
Bryconaethiops,boulengeri,Alestidae,pelagic,25,TL,3.2,questionable,Tanganyika,Africa
Hydrocynus,forskahlii,Alestidae,pelagic,78,SL,4,native,Tanganyika,Africa
Hydrocynus,goliath,Alestidae,pelagic,133,FL,3.8,native,Tanganyika,Africa
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,native,Tanganyika,Africa
Micralestes,acutidens,Alestidae,pelagic,9,SL,2.9,native,Tanganyika,Africa
Micralestes,humilis,Alestidae,pelagic,10.6,TL,3.1,questionable,Tanganyika,Africa
Micralestes,stormsi,Alestidae,pelagic,10,SL,3.2,native,Tanganyika,Africa
Micralestes,vittatus,Alestidae,pelagic,9,SL,3.1,endemic,Tanganyika,Africa
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Tanganyika,Africa
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,native,Tanganyika,Africa
Amphilius,pedunculus,Amphiliidae,demersal,11.9,SL,3,native,Tanganyika,Africa
Amphilius,ruziziensis,Amphiliidae,demersal,12.1,SL,3,native,Tanganyika,Africa
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Tanganyika,Africa
Congoglanis,alula,Amphiliidae,demersal,14.1,SL,3.1,native,Tanganyika,Africa
Phractura,lindica,Amphiliidae,demersal,9,TL,3.1,native,Tanganyika,Africa
Zaireichthys,brevis,Amphiliidae,demersal,3.4,TL,3,native,Tanganyika,Africa
Zaireichthys,heterurus,Amphiliidae,demersal,3.5,SL,3,native,Tanganyika,Africa
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Tanganyika,Africa
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Tanganyika,Africa
Altolamprologus,calvus,Cichlidae,benthopelagic,13.5,TL,3.3,endemic,Tanganyika,Africa
Altolamprologus,compressiceps,Cichlidae,benthopelagic,12.3,TL,3.6,endemic,Tanganyika,Africa
Astatoreochromis,straeleni,Cichlidae,benthopelagic,13,SL,3.4,native,Tanganyika,Africa
Astatotilapia,burtoni,Cichlidae,benthopelagic,15,SL,3,native,Tanganyika,Africa
Astatotilapia,stappersii,Cichlidae,benthopelagic,15,TL,3,native,Tanganyika,Africa
Aulonocranus,dewindti,Cichlidae,benthopelagic,14,TL,3.4,native,Tanganyika,Africa
Baileychromis,centropomoides,Cichlidae,pelagic,16.8,TL,3.4,endemic,Tanganyika,Africa
Bathybates,fasciatus,Cichlidae,pelagic,39.7,TL,4.2,endemic,Tanganyika,Africa
Bathybates,ferox,Cichlidae,pelagic,38.5,TL,4.2,endemic,Tanganyika,Africa
Bathybates,graueri,Cichlidae,pelagic,30,TL,4.2,endemic,Tanganyika,Africa
Bathybates,hornii,Cichlidae,pelagic,27.2,TL,4.2,endemic,Tanganyika,Africa
Bathybates,leo,Cichlidae,pelagic,26,TL,4.2,endemic,Tanganyika,Africa
Bathybates,minor,Cichlidae,pelagic,20.5,TL,4.2,endemic,Tanganyika,Africa
Bathybates,vittatus,Cichlidae,pelagic,42,TL,4.2,endemic,Tanganyika,Africa
Benthochromis,horii,Cichlidae,benthopelagic,15.1,SL,3.5,endemic,Tanganyika,Africa
Benthochromis,melanoides,Cichlidae,pelagic,18.2,TL,3.5,endemic,Tanganyika,Africa
Benthochromis,tricoti,Cichlidae,benthopelagic,16.5,TL,3.5,endemic,Tanganyika,Africa
Boulengerochromis,microlepis,Cichlidae,pelagic,80,TL,4.5,endemic,Tanganyika,Africa
Callochromis,macrops,Cichlidae,benthopelagic,13.5,TL,3.5,endemic,Tanganyika,Africa
Callochromis,melanostigma,Cichlidae,benthopelagic,15,TL,3.5,endemic,Tanganyika,Africa
Callochromis,pleurospilus,Cichlidae,benthopelagic,10,TL,3.5,endemic,Tanganyika,Africa
Cardiopharynx,schoutedeni,Cichlidae,pelagic,15,TL,3.4,endemic,Tanganyika,Africa
Chalinochromis,brichardi,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika,Africa
Chalinochromis,cyanophleps,Cichlidae,benthopelagic,12.9,SL,3.5,endemic,Tanganyika,Africa
Chalinochromis,popelini,Cichlidae,benthopelagic,15,TL,3.5,endemic,Tanganyika,Africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Tanganyika,Africa
Cunningtonia,longiventralis,Cichlidae,benthopelagic,14,TL,3.4,endemic,Tanganyika,Africa
