Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake
Alestes,macrophthalmus,Alestidae,pelagic,60,SL,2,native,Tanganyika
Brachypetersius,cadwaladeri,Alestidae,pelagic,4.3,TL,3,questionable,Tanganyika
Brycinus,grandisquamis,Alestidae,pelagic,26,SL,3.2,native,Tanganyika
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Tanganyika
Brycinus,kingsleyae,Alestidae,pelagic,16.6,SL,3.1,questionable,Tanganyika
Brycinus,rhodopleura,Alestidae,pelagic,30,SL,3.2,native,Tanganyika
Bryconaethiops,boulengeri,Alestidae,pelagic,25,TL,3.2,questionable,Tanganyika
Hydrocynus,forskahlii,Alestidae,pelagic,78,SL,4,native,Tanganyika
Hydrocynus,goliath,Alestidae,pelagic,133,FL,3.8,native,Tanganyika
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,native,Tanganyika
Micralestes,acutidens,Alestidae,pelagic,9,SL,2.9,native,Tanganyika
Micralestes,humilis,Alestidae,pelagic,10.6,TL,3.1,questionable,Tanganyika
Micralestes,stormsi,Alestidae,pelagic,10,SL,3.2,native,Tanganyika
Micralestes,vittatus,Alestidae,pelagic,9,SL,3.1,endemic,Tanganyika
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Tanganyika
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,native,Tanganyika
Amphilius,pedunculus,Amphiliidae,demersal,11.9,SL,3,native,Tanganyika
Amphilius,ruziziensis,Amphiliidae,demersal,12.1,SL,3,native,Tanganyika
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Tanganyika
Congoglanis,alula,Amphiliidae,demersal,14.1,SL,3.1,native,Tanganyika
Phractura,lindica,Amphiliidae,demersal,9,TL,3.1,native,Tanganyika
Zaireichthys,brevis,Amphiliidae,demersal,3.4,TL,3,native,Tanganyika
Zaireichthys,heterurus,Amphiliidae,demersal,3.5,SL,3,native,Tanganyika
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Tanganyika
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Tanganyika
Altolamprologus,calvus,Cichlidae,benthopelagic,13.5,TL,3.3,endemic,Tanganyika
Altolamprologus,compressiceps,Cichlidae,benthopelagic,12.3,TL,3.6,endemic,Tanganyika
Astatoreochromis,straeleni,Cichlidae,benthopelagic,13,SL,3.4,native,Tanganyika
Astatotilapia,burtoni,Cichlidae,benthopelagic,15,SL,3,native,Tanganyika
Astatotilapia,stappersii,Cichlidae,benthopelagic,15,TL,3,native,Tanganyika
Aulonocranus,dewindti,Cichlidae,benthopelagic,14,TL,3.4,native,Tanganyika
Baileychromis,centropomoides,Cichlidae,pelagic,16.8,TL,3.4,endemic,Tanganyika
Bathybates,fasciatus,Cichlidae,pelagic,39.7,TL,4.2,endemic,Tanganyika
Bathybates,ferox,Cichlidae,pelagic,38.5,TL,4.2,endemic,Tanganyika
Bathybates,graueri,Cichlidae,pelagic,30,TL,4.2,endemic,Tanganyika
Bathybates,hornii,Cichlidae,pelagic,27.2,TL,4.2,endemic,Tanganyika
Bathybates,leo,Cichlidae,pelagic,26,TL,4.2,endemic,Tanganyika
Bathybates,minor,Cichlidae,pelagic,20.5,TL,4.2,endemic,Tanganyika
Bathybates,vittatus,Cichlidae,pelagic,42,TL,4.2,endemic,Tanganyika
Benthochromis,horii,Cichlidae,benthopelagic,15.1,SL,3.5,endemic,Tanganyika
Benthochromis,melanoides,Cichlidae,pelagic,18.2,TL,3.5,endemic,Tanganyika
Benthochromis,tricoti,Cichlidae,benthopelagic,16.5,TL,3.5,endemic,Tanganyika
Boulengerochromis,microlepis,Cichlidae,pelagic,80,TL,4.5,endemic,Tanganyika
Callochromis,macrops,Cichlidae,benthopelagic,13.5,TL,3.5,endemic,Tanganyika
Callochromis,melanostigma,Cichlidae,benthopelagic,15,TL,3.5,endemic,Tanganyika
Callochromis,pleurospilus,Cichlidae,benthopelagic,10,TL,3.5,endemic,Tanganyika
Cardiopharynx,schoutedeni,Cichlidae,pelagic,15,TL,3.4,endemic,Tanganyika
Chalinochromis,brichardi,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika
Chalinochromis,cyanophleps,Cichlidae,benthopelagic,12.9,SL,3.5,endemic,Tanganyika
Chalinochromis,popelini,Cichlidae,benthopelagic,15,TL,3.5,endemic,Tanganyika
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Tanganyika
Cunningtonia,longiventralis,Cichlidae,benthopelagic,14,TL,3.4,endemic,Tanganyika
Cyathopharynx,furcifer,Cichlidae,benthopelagic,21,TL,3.4,endemic,Tanganyika
Cyphotilapia,frontosa,Cichlidae,benthopelagic,33,TL,2.9,endemic,Tanganyika
Cyphotilapia,gibberosa,Cichlidae,benthopelagic,21,SL,3.5,endemic,Tanganyika
Cyprichromis,coloratus,Cichlidae,pelagic,10.3,SL,3.5,endemic,Tanganyika
Cyprichromis,leptosoma,Cichlidae,benthopelagic,11,TL,3.5,endemic,Tanganyika
Cyprichromis,microlepidotus,Cichlidae,benthopelagic,11,TL,3.5,endemic,Tanganyika
Cyprichromis,pavo,Cichlidae,demersal,10,SL,3.5,endemic,Tanganyika
Cyprichromis,zonatus,Cichlidae,demersal,8.6,SL,3.5,endemic,Tanganyika
Ectodus,descampsii,Cichlidae,benthopelagic,10.4,TL,2.5,endemic,Tanganyika
Eretmodus,cyanostictus,Cichlidae,benthopelagic,9,TL,2.1,endemic,Tanganyika
Eretmodus,marksmithi,Cichlidae,pelagic,4.7,SL,3.2,endemic,Tanganyika
Gnathochromis,permaxillaris,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika
Grammatotria,lemairii,Cichlidae,benthopelagic,26,TL,2.7,native,Tanganyika
Greenwoodochromis,abeelei,Cichlidae,demersal,23.5,TL,3.5,endemic,Tanganyika
Greenwoodochromis,christyi,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika
Greenwoodochromis,staneri,Cichlidae,demersal,19,TL,3.4,endemic,Tanganyika
Haplotaxodon,microlepis,Cichlidae,pelagic,26,TL,3.4,endemic,Tanganyika
Hemibates,koningsi,Cichlidae,pelagic,21.7,SL,3.5,endemic,Tanganyika
Hemibates,stenosoma,Cichlidae,pelagic,30,TL,4.1,endemic,Tanganyika
Interochromis,loocki,Cichlidae,demersal,10.5,TL,2,endemic,Tanganyika
Jabarichromis,pfefferi,Cichlidae,benthopelagic,14,TL,3.6,native,Tanganyika
Julidochromis,dickfeldi,Cichlidae,benthopelagic,11,TL,3.5,endemic,Tanganyika
Julidochromis,marksmithi,Cichlidae,pelagic,6.3,SL,3.4,endemic,Tanganyika
Julidochromis,marlieri,Cichlidae,demersal,13,TL,2.5,endemic,Tanganyika
Julidochromis,ornatus,Cichlidae,benthopelagic,8.5,TL,3.5,endemic,Tanganyika
Julidochromis,regani,Cichlidae,benthopelagic,13,TL,3.6,endemic,Tanganyika
Julidochromis,transcriptus,Cichlidae,benthopelagic,7,TL,3.5,endemic,Tanganyika
Lamprologus,callipterus,Cichlidae,benthopelagic,12.4,TL,3.5,endemic,Tanganyika
Lamprologus,finalimus,Cichlidae,benthopelagic,4.5,TL,3.4,endemic,Tanganyika
Lamprologus,kungweensis,Cichlidae,benthopelagic,8,TL,3.7,endemic,Tanganyika
Lamprologus,laparogramma,Cichlidae,benthopelagic,4,SL,3.5,endemic,Tanganyika
Lamprologus,lemairii,Cichlidae,benthopelagic,25,TL,4.5,endemic,Tanganyika
Lamprologus,meleagris,Cichlidae,benthopelagic,7,TL,3.6,endemic,Tanganyika
Lamprologus,ocellatus,Cichlidae,benthopelagic,5.8,TL,3.5,endemic,Tanganyika
Lamprologus,ornatipinnis,Cichlidae,benthopelagic,7.8,TL,3.7,endemic,Tanganyika
Lamprologus,signatus,Cichlidae,bathydemersal,5.5,TL,3.6,endemic,Tanganyika
Lamprologus,speciosus,Cichlidae,benthopelagic,5,TL,3.5,endemic,Tanganyika
Lamprologus,stappersi,Cichlidae,benthopelagic,5.1,TL,3.5,endemic,Tanganyika
Lepidiolamprologus,attenuatus,Cichlidae,benthopelagic,15,TL,4.1,endemic,Tanganyika
Lepidiolamprologus,boulengeri,Cichlidae,benthopelagic,6.2,TL,3.5,endemic,Tanganyika
Lepidiolamprologus,elongatus,Cichlidae,benthopelagic,32.5,TL,4.2,endemic,Tanganyika
Lepidiolamprologus,hecqui,Cichlidae,benthopelagic,8,TL,3.7,endemic,Tanganyika
Lepidiolamprologus,kamambae,Cichlidae,pelagic,13.7,SL,4,endemic,Tanganyika
Lepidiolamprologus,kendalli,Cichlidae,benthopelagic,16,TL,4.2,endemic,Tanganyika
Lepidiolamprologus,meeli,Cichlidae,benthopelagic,7,TL,3.6,endemic,Tanganyika
Lepidiolamprologus,mimicus,Cichlidae,benthopelagic,16,SL,4.1,endemic,Tanganyika
Lepidiolamprologus,profundicola,Cichlidae,benthopelagic,30.5,TL,4.2,endemic,Tanganyika
Lepidiolamprologus,variostigma,Cichlidae,benthopelagic,7.3,SL,3.7,endemic,Tanganyika
Lestradea,perspicax,Cichlidae,benthopelagic,13.8,TL,3.3,endemic,Tanganyika
Lestradea,stappersii,Cichlidae,benthopelagic,11.7,TL,3.5,endemic,Tanganyika
Limnochromis,auritus,Cichlidae,demersal,13,TL,3.3,endemic,Tanganyika
Limnotilapia,dardennii,Cichlidae,demersal,26,TL,3.2,endemic,Tanganyika
Lobochilotes,labiata,Cichlidae,benthopelagic,36.8,TL,3.3,endemic,Tanganyika
Lufubuchromis,relictus,Cichlidae,benthopelagic,9.3,SL,3.3,endemic,Tanganyika
Neolamprologus,bifasciatus,Cichlidae,benthopelagic,10,TL,3.5,endemic,Tanganyika
Neolamprologus,brevis,Cichlidae,benthopelagic,5.5,TL,3.4,endemic,Tanganyika
Neolamprologus,brichardi,Cichlidae,benthopelagic,9,TL,3.4,endemic,Tanganyika
Neolamprologus,buescheri,Cichlidae,benthopelagic,8,TL,3.5,endemic,Tanganyika
Neolamprologus,cancellatus,Cichlidae,pelagic,5.7,SL,3.4,endemic,Tanganyika
Neolamprologus,caudopunctatus,Cichlidae,benthopelagic,6.5,TL,3.4,endemic,Tanganyika
Neolamprologus,chitamwebwai,Cichlidae,benthopelagic,7.3,SL,3.5,endemic,Tanganyika
Neolamprologus,christyi,Cichlidae,benthopelagic,15,TL,3.3,endemic,Tanganyika
Neolamprologus,crassus,Cichlidae,benthopelagic,7,TL,3.4,endemic,Tanganyika
