Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Brycinus imberi,Spot-tail,Alestidae,demersal,19.8 TL,3.3,native,Malawi
Hemigrammopetersius barnardi,Barnard's robber,Alestidae,pelagic,7.0 SL,3.4,native,Malawi
Amphilius chalei,,Amphiliidae,demersal,7.0 SL,3,native,Malawi
Zaireichthys compactus,,Amphiliidae,demersal,2.6 SL,3,native,Malawi
Zaireichthys lacustris,,Amphiliidae,benthopelagic,2.2 SL,3,endemic,Malawi
Zaireichthys maravensis,,Amphiliidae,benthopelagic,3.1 SL,3,endemic,Malawi
Zaireichthys monomotapa,Eastern sand catlet,Amphiliidae,benthopelagic,4.1 SL,3,native,Malawi
Zaireichthys rotundiceps,Spotted sand catlet,Amphiliidae,demersal,3.8 SL,3.4,misidentification,Malawi
Anguilla labiata,African mottled eel,Anguillidae,demersal,175.0 TL,3.8,native,Malawi
Bagrus meridionalis,Kampoyo,Bagridae,demersal,150.0 SL,3.9,native,Malawi
Bagrus orientalis,,Bagridae,demersal,44.7 TL,3.8,native,Malawi
Abactochromis labrosus,,Cichlidae,demersal,11.5 SL,3.4,endemic,Malawi
Alticorpus geoffreyi,,Cichlidae,benthopelagic,15.5 SL,2.7,endemic,Malawi
Alticorpus macrocleithrum,,Cichlidae,benthopelagic,12.7 SL,3.5,endemic,Malawi
Alticorpus mentale,,Cichlidae,benthopelagic,20.1 SL,2.7,endemic,Malawi
Alticorpus peterdaviesi,,Cichlidae,benthopelagic,15.0 TL,2,endemic,Malawi
Alticorpus profundicola,,Cichlidae,benthopelagic,12.4 SL,2.8,endemic,Malawi
Aristochromis christyi,,Cichlidae,benthopelagic,30.0 TL,4,endemic,Malawi
Astatotilapia calliptera,Eastern happy,Cichlidae,benthopelagic,15.0 SL,3,native,Malawi
Aulonocara aquilonium,,Cichlidae,benthopelagic,8.5 SL,3.5,native,Malawi
Aulonocara auditor,,Cichlidae,benthopelagic,8.0 SL,3.5,endemic,Malawi
Aulonocara baenschi,Nkhomo-benga peacock,Cichlidae,benthopelagic,13.0 TL,3.5,endemic,Malawi
Aulonocara brevinidus,,Cichlidae,benthopelagic,9.5 SL,3.5,endemic,Malawi
