Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Alestes macrophthalmus,Torpedo robber,Alestidae,pelagic,60.0 SL,2,native,Tanganyika
Brachypetersius cadwaladeri,,Alestidae,pelagic,4.3 TL,3,questionable,Tanganyika
Brycinus grandisquamis,Pinkfin Alestes,Alestidae,pelagic,26.0 SL,3.2,native,Tanganyika
Brycinus imberi,Spot-tail,Alestidae,demersal,19.8 TL,3.3,native,Tanganyika
Brycinus kingsleyae,,Alestidae,pelagic,16.6 SL,3.1,questionable,Tanganyika
Brycinus rhodopleura,,Alestidae,pelagic,30.0 SL,3.2,native,Tanganyika
Bryconaethiops boulengeri,,Alestidae,pelagic,25.0 TL,3.2,questionable,Tanganyika
Hydrocynus forskahlii,Elongate tigerfish,Alestidae,pelagic,78.0 SL,4,native,Tanganyika
Hydrocynus goliath,Giant tigerfish,Alestidae,pelagic,133.0 FL,3.8,native,Tanganyika
Hydrocynus vittatus,Tiger fish,Alestidae,demersal,105.0 FL,3.7,native,Tanganyika
Micralestes acutidens,Sharptooth tetra,Alestidae,pelagic,9.0 SL,2.9,native,Tanganyika
Micralestes humilis,,Alestidae,pelagic,10.6 TL,3.1,questionable,Tanganyika
Micralestes stormsi,,Alestidae,pelagic,10.0 SL,3.2,native,Tanganyika
Micralestes vittatus,,Alestidae,pelagic,9.0 SL,3.1,endemic,Tanganyika
Amphilius jacksonii,Marbled mountain catfish,Amphiliidae,demersal,15.0 TL,3,native,Tanganyika
Amphilius kivuensis,,Amphiliidae,demersal,10.6 TL,3,native,Tanganyika
Amphilius pedunculus,,Amphiliidae,demersal,11.9 SL,3,native,Tanganyika
Amphilius ruziziensis,,Amphiliidae,demersal,12.1 SL,3,native,Tanganyika
Amphilius uranoscopus,Stargazer mountain catfish,Amphiliidae,demersal,19.5 TL,2.9,native,Tanganyika
Congoglanis alula,,Amphiliidae,demersal,14.1 SL,3.1,native,Tanganyika
Phractura lindica,,Amphiliidae,demersal,9.0 TL,3.1,native,Tanganyika
Zaireichthys brevis,,Amphiliidae,demersal,3.4 TL,3,native,Tanganyika
Zaireichthys heterurus,,Amphiliidae,demersal,3.5 SL,3,native,Tanganyika
Ctenopoma muriei,Ocellated labyrinth fish,Anabantidae,benthopelagic,7.0 SL,3,native,Tanganyika
