Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Alestopetersius leopoldianus,,Alestidae,pelagic,9.0 TL,3.1,questionable,Victoria
Brycinus jacksonii,Victoria robber,Alestidae,pelagic,27.0 SL,3.2,native,Victoria
Brycinus macrolepidotus,True big-scale tetra,Alestidae,pelagic,53.0 SL,2.8,questionable,Victoria
Brycinus nurse,Nurse tetra,Alestidae,pelagic,25.0 TL,2.5,misidentification,Victoria
Brycinus sadleri,Sadler's robber,Alestidae,pelagic,13.8 TL,3.2,native,Victoria
Amphilius jacksonii,Marbled mountain catfish,Amphiliidae,demersal,15.0 TL,3,native,Victoria
Amphilius kivuensis,,Amphiliidae,demersal,10.6 TL,3,questionable,Victoria
Amphilius lujani,,Amphiliidae,demersal,12.0 SL,3,native,Victoria
Amphilius uranoscopus,Stargazer mountain catfish,Amphiliidae,demersal,19.5 TL,2.9,native,Victoria
Zaireichthys rotundiceps,Spotted sand catlet,Amphiliidae,demersal,3.8 SL,3.4,questionable,Victoria
Ctenopoma muriei,Ocellated labyrinth fish,Anabantidae,benthopelagic,7.0 SL,3,native,Victoria
Anguilla anguilla,European eel,Anguillidae,demersal,133.0 TL,3.5,introduced,Victoria
Bagrus degeni,,Bagridae,demersal,55.0 TL,4.2,endemic,Victoria
Bagrus docmak,Semutundu,Bagridae,benthopelagic,127.0 TL,4.1,native,Victoria
Micropterus dolomieu,Smallmouth bass,Centrarchidae,benthopelagic,69.0 TL,3.6,introduced,Victoria
Micropterus salmoides,Largemouth black bass,Centrarchidae,benthopelagic,97.0 TL,3.8,introduced,Victoria
Astatoreochromis alluaudi,Alluaud's haplo,Cichlidae,benthopelagic,19.0 SL,3.6,native,Victoria
Astatotilapia burtoni,,Cichlidae,benthopelagic,15.0 SL,3,native,Victoria
Coptodon rendalli,Redbreast tilapia,Cichlidae,benthopelagic,45.0 TL,2.3,introduced,Victoria
Coptodon zillii,Redbelly tilapia,Cichlidae,benthopelagic,40.0 SL,2.5,introduced,Victoria
Haplochromis acidens,,Cichlidae,benthopelagic,12.8 SL,3,endemic,Victoria
Haplochromis aelocephalus,,Cichlidae,benthopelagic,12.0 SL,3.3,endemic,Victoria
Haplochromis altigenis,,Cichlidae,benthopelagic,20.2 SL,4.2,endemic,Victoria
Haplochromis ampullarostratus,,Cichlidae,benthopelagic,7.2 SL,3.3,endemic,Victoria
Haplochromis antleter,,Cichlidae,demersal,7.0 SL,3.3,endemic,Victoria
Haplochromis apogonoides,,Cichlidae,benthopelagic,13.2 SL,3.4,native,Victoria
Haplochromis arcanus,,Cichlidae,benthopelagic,14.2 SL,4.2,endemic,Victoria
Haplochromis argens,,Cichlidae,pelagic,7.6 SL,3.3,endemic,Victoria
Haplochromis argenteus,,Cichlidae,benthopelagic,20.2 SL,3.6,native,Victoria
Haplochromis artaxerxes,,Cichlidae,benthopelagic,14.7 SL,3.6,endemic,Victoria
Haplochromis azureus,,Cichlidae,demersal,9.6 SL,3.4,native,Victoria
Haplochromis barbarae,,Cichlidae,benthopelagic,10.6 SL,4,native,Victoria
Haplochromis bareli,,Cichlidae,benthopelagic,12.5 SL,4.2,endemic,Victoria
Haplochromis bartoni,,Cichlidae,benthopelagic,19.5 SL,4.2,endemic,Victoria
Haplochromis bayoni,,Cichlidae,benthopelagic,15.4 SL,4.2,endemic,Victoria
Haplochromis bicolor,,Cichlidae,demersal,15.0 SL,3.6,endemic,Victoria
Haplochromis boops,,Cichlidae,benthopelagic,19.4 SL,4.2,endemic,Victoria
Haplochromis brownae,,Cichlidae,benthopelagic,10.4 SL,3.9,endemic,Victoria
Haplochromis bwathondii,,Cichlidae,pelagic,8.2 SL,3.3,endemic,Victoria
Haplochromis cassius,,Cichlidae,benthopelagic,9.8 SL,3.4,endemic,Victoria
Haplochromis cavifrons,,Cichlidae,benthopelagic,19.5 SL,4.2,endemic,Victoria
Haplochromis chilotes,,Cichlidae,benthopelagic,14.8 SL,3.2,native,Victoria
Haplochromis chlorochrous,,Cichlidae,benthopelagic,12.0 SL,3.6,endemic,Victoria
Haplochromis chromogynos,,Cichlidae,benthopelagic,11.0 SL,3.2,endemic,Victoria
Haplochromis chrysogynaion,,Cichlidae,benthopelagic,9.1 SL,4.2,endemic,Victoria
Haplochromis cinctus,,Cichlidae,benthopelagic,8.8 SL,2,endemic,Victoria
Haplochromis cinereus,,Cichlidae,benthopelagic,8.1 SL,2.6,endemic,Victoria
Haplochromis cnester,,Cichlidae,benthopelagic,8.1 SL,3.3,endemic,Victoria
Haplochromis commutabilis,Kachira Blue,Cichlidae,benthopelagic,10.4 SL,3.3,endemic,Victoria
Haplochromis coprologus,,Cichlidae,benthopelagic,7.5 SL,3.3,endemic,Victoria
Haplochromis crassilabris,,Cichlidae,benthopelagic,15.0 TL,3.2,endemic,Victoria
Haplochromis crocopeplus,,Cichlidae,benthopelagic,10.1 SL,3.6,endemic,Victoria
Haplochromis cronus,,Cichlidae,benthopelagic,13.5 SL,4,native,Victoria
Haplochromis cryptodon,,Cichlidae,benthopelagic,13.0 SL,4,endemic,Victoria
Haplochromis cryptogramma,,Cichlidae,benthopelagic,9.4 SL,3.4,endemic,Victoria
Haplochromis cyaneus,,Cichlidae,benthopelagic,10.7 SL,2.6,endemic,Victoria
Haplochromis decticostoma,,Cichlidae,benthopelagic,22.9 SL,4,endemic,Victoria
Haplochromis degeni,,Cichlidae,demersal,15.4 SL,3.2,endemic,Victoria
Haplochromis dentex,,Cichlidae,benthopelagic,15.9 SL,4.2,endemic,Victoria
Haplochromis dichrourus,,Cichlidae,benthopelagic,18.6 SL,4,endemic,Victoria
Haplochromis diplotaenia,,Cichlidae,benthopelagic,11.0 SL,4.2,endemic,Victoria
Haplochromis dolichorhynchus,,Cichlidae,benthopelagic,11.9 SL,3.4,native,Victoria
Haplochromis empodisma,,Cichlidae,benthopelagic,11.7 SL,2.9,endemic,Victoria
Haplochromis erythrocephalus,,Cichlidae,benthopelagic,7.7 SL,2.5,native,Victoria
Haplochromis erythromaculatus,,Cichlidae,benthopelagic,10.3 SL,3.3,endemic,Victoria
Haplochromis estor,,Cichlidae,benthopelagic,17.0 SL,4.2,endemic,Victoria
Haplochromis eutaenia,,Cichlidae,benthopelagic,10.5 TL,3.6,native,Victoria
Haplochromis exspectatus,,Cichlidae,benthopelagic,8.5 SL,3.3,endemic,Victoria
Haplochromis fischeri,,Cichlidae,benthopelagic,10.5 SL,3.3,endemic,Victoria
Haplochromis flavipinnis,,Cichlidae,benthopelagic,15.6 SL,4.2,native,Victoria
Haplochromis flavus,,Cichlidae,benthopelagic,11.9 SL,2.3,native,Victoria
Haplochromis fusiformis,,Cichlidae,benthopelagic,11.0 SL,3.3,native,Victoria
Haplochromis gigas,,Cichlidae,demersal,14.2 SL,2,native,Victoria
Haplochromis gilberti,,Cichlidae,benthopelagic,15.0 SL,4,endemic,Victoria
Haplochromis goldschmidti,,Cichlidae,pelagic,6.9 SL,3.3,endemic,Victoria
Haplochromis gowersii,,Cichlidae,benthopelagic,22.4 SL,4.2,native,Victoria
Haplochromis granti,,Cichlidae,benthopelagic,12.2 SL,3.4,endemic,Victoria
Haplochromis greenwoodi,,Cichlidae,demersal,13.5 SL,3.2,native,Victoria
Haplochromis guiarti,,Cichlidae,benthopelagic,17.7 SL,4.2,endemic,Victoria
Haplochromis harpakteridion,,Cichlidae,benthopelagic,8.1 SL,4.2,endemic,Victoria
Haplochromis heusinkveldi,,Cichlidae,benthopelagic,7.6 SL,3.4,native,Victoria
Haplochromis hiatus,,Cichlidae,benthopelagic,11.2 SL,3.2,endemic,Victoria
Haplochromis howesi,,Cichlidae,benthopelagic,16.3 SL,3.5,endemic,Victoria
Haplochromis humilior,,Cichlidae,benthopelagic,9.0 SL,2.6,endemic,Victoria
Haplochromis igneopinnis,,Cichlidae,demersal,10.8 SL,2,native,Victoria
Haplochromis iris,,Cichlidae,benthopelagic,11.6 SL,3.2,native,Victoria
Haplochromis ishmaeli,,Cichlidae,benthopelagic,13.6 SL,3.6,native,Victoria
Haplochromis katunzii,,Cichlidae,demersal,8.0 SL,3.3,endemic,Victoria
Haplochromis kujunjui,,Cichlidae,benthopelagic,10.3 SL,4.2,endemic,Victoria
Haplochromis labriformis,,Cichlidae,benthopelagic,6.2 SL,3.3,endemic,Victoria
Haplochromis lacrimosus,,Cichlidae,benthopelagic,9.7 SL,2.8,endemic,Victoria
Haplochromis laparogramma,,Cichlidae,benthopelagic,8.5 SL,3.3,native,Victoria
Haplochromis lividus,,Cichlidae,benthopelagic,9.0 SL,2.4,endemic,Victoria
Haplochromis longirostris,,Cichlidae,benthopelagic,14.5 SL,3.9,native,Victoria
Haplochromis luteus,,Cichlidae,demersal,13.3 SL,2.6,native,Victoria
Haplochromis macrocephalus,,Cichlidae,demersal,10.6 SL,3,native,Victoria
Haplochromis macrognathus,,Cichlidae,benthopelagic,17.4 SL,4.2,endemic,Victoria
Haplochromis macrops,,Cichlidae,benthopelagic,9.1 SL,2.8,endemic,Victoria
Haplochromis maculipinna,,Cichlidae,benthopelagic,16.6 SL,3.9,endemic,Victoria
Haplochromis maisomei,,Cichlidae,benthopelagic,9.8 SL,4.2,endemic,Victoria
Haplochromis mandibularis,,Cichlidae,benthopelagic,17.4 SL,4.2,endemic,Victoria
Haplochromis martini,,Cichlidae,benthopelagic,10.4 SL,3.9,endemic,Victoria
Haplochromis maxillaris,,Cichlidae,benthopelagic,16.0 SL,4,endemic,Victoria
Haplochromis mbipi,,Cichlidae,demersal,13.1 SL,2.6,native,Victoria
