Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent,Fertilization
Abactochromis,labrosus,Cichlidae,demersal,11.5,SL,3.4,endemic,Malawi,Africa,
Acapoeta,tanganicae,Cyprinidae,benthopelagic,61,TL,2,native,Tanganyika,Africa,
Acipenser,fulvescens,Acipenseridae,demersal,274,TL,3.3,native,Great Lakes,North America,
Afronemacheilus,abyssinicus,Nemacheilidae,benthopelagic,5.1,SL,2.8,misidentification,Turkana,Africa,
Afronemacheilus,kaffa,Nemacheilidae,benthopelagic,5.5,SL,2.8,endemic,Turkana,Africa,
Alestes,macrophthalmus,Alestidae,pelagic,60,SL,2,native,Tanganyika,Africa,
Alestes,baremoze,Alestidae,benthopelagic,43,TL,3,native,Turkana,Africa,
Alestes,dentex,Alestidae,pelagic,55,TL,2.9,native,Turkana,Africa,
Alestes,dentex,Alestidae,pelagic,55,TL,2.9,native,Albert,Africa,
Alestopetersius,leopoldianus,Alestidae,pelagic,9,TL,3.1,questionable,Victoria,Africa,
Alosa,aestivalis,Alosidae,pelagic-neritic,40,SL,3.8,introduced,Great Lakes,North America,
Alosa,pseudoharengus,Alosidae,pelagic-neritic,40,SL,3.4,introduced,Great Lakes,North America,
Alticorpus,geoffreyi,Cichlidae,benthopelagic,15.5,SL,2.7,endemic,Malawi,Africa,
Alticorpus,macrocleithrum,Cichlidae,benthopelagic,12.7,SL,3.5,endemic,Malawi,Africa,
Alticorpus,mentale,Cichlidae,benthopelagic,20.1,SL,2.7,endemic,Malawi,Africa,
Alticorpus,peterdaviesi,Cichlidae,benthopelagic,15,TL,2,endemic,Malawi,Africa,external
Alticorpus,profundicola,Cichlidae,benthopelagic,12.4,SL,2.8,endemic,Malawi,Africa,
Altolamprologus,calvus,Cichlidae,benthopelagic,13.5,TL,3.3,endemic,Tanganyika,Africa,
Altolamprologus,compressiceps,Cichlidae,benthopelagic,12.3,TL,3.6,endemic,Tanganyika,Africa,
Ambloplites,rupestris,Centrarchidae,benthopelagic,43,TL,3.4,native,Great Lakes,North America,
Ameiurus,melas,Ictaluridae,demersal,66,TL,3.8,native,Great Lakes,North America,
Ameiurus,natalis,Ictaluridae,demersal,60,TL,3.3,native,Great Lakes,North America,
Ameiurus,nebulosus,Ictaluridae,demersal,55,TL,3.7,native,Great Lakes,North America,
Amia,calva,Amiidae,demersal,109,TL,3.8,native,Great Lakes,North America,
Ammocrypta,pellucida,Percidae,demersal,8.4,TL,3.6,native,Great Lakes,North America,
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Tanganyika,Africa,
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,native,Tanganyika,Africa,
Amphilius,pedunculus,Amphiliidae,demersal,11.9,SL,3,native,Tanganyika,Africa,
Amphilius,ruziziensis,Amphiliidae,demersal,12.1,SL,3,native,Tanganyika,Africa,
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Tanganyika,Africa,
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Victoria,Africa,
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,questionable,Victoria,Africa,
Amphilius,lujani,Amphiliidae,demersal,12,SL,3,native,Victoria,Africa,
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Victoria,Africa,
Amphilius,chalei,Amphiliidae,demersal,7,SL,3,native,Malawi,Africa,
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,questionable,Kivu,Africa,
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Kivu,Africa,
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Edward,Africa,
Andersonia,leptura,Amphiliidae,demersal,4.6,SL,3,native,Turkana,Africa,
Anguilla,anguilla,Anguillidae,demersal,133,TL,3.5,introduced,Victoria,Africa,external
Anguilla,labiata,Anguillidae,demersal,175,TL,3.8,native,Malawi,Africa,
Anguilla,rostrata,Anguillidae,demersal,152,TL,3.8,native,Great Lakes,North America,
Aphredoderus,sayanus,Aphredoderidae,demersal,14,TL,3.1,native,Great Lakes,North America,
Aplodinotus,grunniens,Sciaenidae,demersal,95,TL,3.4,native,Great Lakes,North America,
Aristochromis,christyi,Cichlidae,benthopelagic,30,TL,4,endemic,Malawi,Africa,external
Astatoreochromis,straeleni,Cichlidae,benthopelagic,13,SL,3.4,native,Tanganyika,Africa,
Astatoreochromis,alluaudi,Cichlidae,benthopelagic,19,SL,3.6,native,Victoria,Africa,
Astatoreochromis,alluaudi,Cichlidae,benthopelagic,19,SL,3.6,native,Edward,Africa,
Astatotilapia,burtoni,Cichlidae,benthopelagic,15,SL,3,native,Tanganyika,Africa,
Astatotilapia,stappersii,Cichlidae,benthopelagic,15,TL,3,native,Tanganyika,Africa,
Astatotilapia,burtoni,Cichlidae,benthopelagic,15,SL,3,native,Victoria,Africa,
Astatotilapia,calliptera,Cichlidae,benthopelagic,15,SL,3,native,Malawi,Africa,
Auchenoglanis,occidentalis,Claroteidae,demersal,70,SL,2.9,native,Tanganyika,Africa,
Auchenoglanis,biscutatus,Claroteidae,demersal,54,SL,3.1,native,Turkana,Africa,
Auchenoglanis,occidentalis,Claroteidae,demersal,70,SL,2.9,native,Turkana,Africa,
Aulonocara,aquilonium,Cichlidae,benthopelagic,8.5,SL,3.5,native,Malawi,Africa,
Aulonocara,auditor,Cichlidae,benthopelagic,8,SL,3.5,endemic,Malawi,Africa,
Aulonocara,baenschi,Cichlidae,benthopelagic,13,TL,3.5,endemic,Malawi,Africa,
Aulonocara,brevinidus,Cichlidae,benthopelagic,9.5,SL,3.5,endemic,Malawi,Africa,
Aulonocara,brevirostre,Cichlidae,benthopelagic,8,SL,3.5,endemic,Malawi,Africa,
Aulonocara,ethelwynnae,Cichlidae,benthopelagic,7.1,SL,3.5,endemic,Malawi,Africa,
Aulonocara,gertrudae,Cichlidae,benthopelagic,11,SL,3.6,native,Malawi,Africa,
Aulonocara,guentheri,Cichlidae,benthopelagic,15,TL,3.5,endemic,Malawi,Africa,
Aulonocara,hansbaenschi,Cichlidae,benthopelagic,8.4,SL,3.5,endemic,Malawi,Africa,
Aulonocara,hueseri,Cichlidae,benthopelagic,7.9,SL,3.5,endemic,Malawi,Africa,
Aulonocara,jacobfreibergi,Cichlidae,benthopelagic,15,TL,3.6,endemic,Malawi,Africa,
Aulonocara,kandeense,Cichlidae,benthopelagic,7.8,SL,3.5,endemic,Malawi,Africa,
Aulonocara,koningsi,Cichlidae,benthopelagic,9.2,SL,3.5,endemic,Malawi,Africa,
Aulonocara,korneliae,Cichlidae,benthopelagic,7.8,SL,3.5,endemic,Malawi,Africa,
Aulonocara,maylandi,Cichlidae,benthopelagic,15,TL,3.5,endemic,Malawi,Africa,
Aulonocara,nyassae,Cichlidae,benthopelagic,8,SL,3.5,endemic,Malawi,Africa,
Aulonocara,rostratum,Cichlidae,benthopelagic,18,TL,3.5,endemic,Malawi,Africa,external
Aulonocara,saulosi,Cichlidae,benthopelagic,9.2,SL,3.5,endemic,Malawi,Africa,
Aulonocara,steveni,Cichlidae,benthopelagic,8.9,SL,3.5,endemic,Malawi,Africa,
Aulonocara,stonemani,Cichlidae,demersal,5.5,SL,3.3,endemic,Malawi,Africa,
Aulonocara,stuartgranti,Cichlidae,benthopelagic,11.8,TL,3.5,endemic,Malawi,Africa,
Aulonocara,trematocephalum,Cichlidae,benthopelagic,9,TL,3.5,endemic,Malawi,Africa,
Aulonocranus,dewindti,Cichlidae,benthopelagic,14,TL,3.4,native,Tanganyika,Africa,
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Tanganyika,Africa,external
Bagrus,degeni,Bagridae,demersal,55,TL,4.2,endemic,Victoria,Africa,
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Victoria,Africa,
Bagrus,meridionalis,Bagridae,demersal,150,SL,3.9,native,Malawi,Africa,
Bagrus,orientalis,Bagridae,demersal,44.7,TL,3.8,native,Malawi,Africa,
Bagrus,bajad,Bagridae,demersal,112,FL,4,native,Turkana,Africa,
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Turkana,Africa,external
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Albert,Africa,external
Bagrus,degeni,Bagridae,demersal,55,TL,4.2,questionable,Edward,Africa,
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Edward,Africa,external
Baileychromis,centropomoides,Cichlidae,pelagic,16.8,TL,3.4,endemic,Tanganyika,Africa,
