Genus,Species,Family,Habitat,Length_cm,measurement,Trophic_lvl,Status,Lake,Region
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Kariba,southern africa
Brycinus,lateralis,Alestidae,pelagic,14,SL,3.5,native,Kariba,southern africa
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,native,Kariba,southern africa
Micralestes,acutidens,Alestidae,pelagic,9,SL,2.9,native,Kariba,southern africa
Micropterus,salmoides,Centrarchidae,benthopelagic,97,TL,3.8,introduced,Kariba,southern africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Kariba,southern africa
Oreochromis,andersonii,Cichlidae,benthopelagic,61,TL,2,native,Kariba,southern africa
Oreochromis,macrochir,Cichlidae,benthopelagic,43,TL,2.2,introduced,Kariba,southern africa
Oreochromis,mortimeri,Cichlidae,benthopelagic,48,TL,2.2,native,Kariba,southern africa
Oreochromis,mossambicus,Cichlidae,benthopelagic,39,SL,2.2,misidentification,Kariba,southern africa
Oreochromis,niloticus,Cichlidae,benthopelagic,60,SL,2,introduced,Kariba,southern africa
Pharyngochromis,acuticeps,Cichlidae,benthopelagic,12,TL,3.3,native,Kariba,southern africa
Pharyngochromis,darlingi,Cichlidae,demersal,22,TL,3.2,native,Kariba,southern africa
Pseudocrenilabrus,philander,Cichlidae,benthopelagic,13,TL,3.7,native,Kariba,southern africa
Sargochromis,carlottae,Cichlidae,demersal,34.5,SL,3.6,native,Kariba,southern africa
Sargochromis,codringtonii,Cichlidae,demersal,39,TL,3.1,native,Kariba,southern africa
Serranochromis,jallae,Cichlidae,demersal,39.6,SL,4.1,introduced,Kariba,southern africa
Serranochromis,macrocephalus,Cichlidae,demersal,35,SL,4.2,native,Kariba,southern africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Kariba,southern africa
Heterobranchus,longifilis,Clariidae,demersal,150,SL,3.7,native,Kariba,southern africa
Enteromius,fasciolatus,Cyprinidae,benthopelagic,6,SL,3,native,Kariba,southern africa
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Kariba,southern africa
Enteromius,poechii,Cyprinidae,benthopelagic,11,SL,3.3,native,Kariba,southern africa
Enteromius,unitaeniatus,Cyprinidae,benthopelagic,14,SL,3.3,native,Kariba,southern africa
Labeo,altivelis,Cyprinidae,benthopelagic,49,TL,2,native,Kariba,southern africa
Labeo,congoro,Cyprinidae,benthopelagic,41.5,SL,2.2,native,Kariba,southern africa
Labeo,cylindricus,Cyprinidae,benthopelagic,25,SL,2,native,Kariba,southern africa
Labeobarbus,marequensis,Cyprinidae,benthopelagic,47,TL,3.2,native,Kariba,southern africa
Opsaridium,zambezense,Danionidae,benthopelagic,12,SL,3.4,native,Kariba,southern africa
Distichodus,mossambicus,Distichodontidae,pelagic,57,SL,3.2,native,Kariba,southern africa
Distichodus,schenga,Distichodontidae,pelagic,50,SL,2.1,native,Kariba,southern africa
